,id,values,tconst,primaryTitle,averageRating
81,tt0110912,0.03559971502698086,tt0110912,Pulp Fiction,8.9
82,tt0113552,0.030469573483615918,tt0113552,Kiss of Death,5.9
83,tt0163988,0.029585020807886452,tt0163988,Bringing Out the Dead,6.8
84,tt0217869,0.029377286628542474,tt0217869,Unbreakable,7.3
85,tt0112864,0.029101563025320874,tt0112864,Die Hard with a Vengeance,7.6
86,tt6823368,0.029083070112351166,tt6823368,Glass,6.7
87,tt0106266,0.02901036888853809,tt0106266,Amos & Andrew,5.7
88,tt0429589,0.028232476080276986,tt0429589,The Ant Bully,5.8
89,tt0117913,0.026964336497116843,tt0117913,A Time to Kill,7.5
90,tt0093822,0.026363843221909423,tt0093822,Raising Arizona,7.3
91,tt0118880,0.02613093826414424,tt0118880,Con Air,6.9
92,tt0407887,0.025575916892309657,tt0407887,The Departed,8.5
93,tt0120184,0.025043440994914474,tt0120184,Sphere,6.1
94,tt1821694,0.02501612110683018,tt1821694,RED 2,6.6
95,tt1843866,0.024836778326894876,tt1843866,Captain America: The Winter Soldier,7.7
96,tt1245526,0.024784213910058906,tt1245526,RED,7.0
97,tt0105813,0.024241939299183144,tt0105813,White Sands,6.0
98,tt1674784,0.02420149240468401,tt1674784,Trespass,5.3
99,tt0219965,0.024004038716498886,tt0219965,Bandits,6.5
100,tt0118607,0.023930253005490846,tt0118607,Amistad,7.3
101,tt0240772,0.02390564273860401,tt0240772,Ocean's Eleven,7.7
102,tt0435705,0.023834533338444576,tt0435705,Next,6.2
103,tt0101453,0.02358518301196191,tt0101453,Billy Bathgate,5.9
104,tt0268126,0.023568499282302105,tt0268126,Adaptation.,7.7
105,tt0401792,0.023468434024649747,tt0401792,Sin City,8.0
106,tt0118715,0.023449980465635654,tt0118715,The Big Lebowski,8.1
107,tt0117500,0.02344095187547562,tt0117500,The Rock,7.4
108,tt0384680,0.0233414618365235,tt0384680,The Weather Man,6.5
109,tt0450385,0.023266455894004525,tt0450385,1408,6.8
110,tt0160797,0.023094353109500063,tt0160797,Rules of Engagement,6.4
111,tt0212985,0.02307302728477,tt0212985,Hannibal,6.8
112,tt2802144,0.022961272347915243,tt2802144,Kingsman: The Secret Service,7.7
113,tt2005374,0.022823238275554006,tt2005374,The Frozen Ground,6.4
114,tt0349467,0.022242710068039927,tt0349467,Freedomland,5.1
115,tt0134273,0.022225561120504098,tt0134273,8MM,6.5
116,tt0119094,0.022176144691391442,tt0119094,Face/Off,7.3
117,tt0775440,0.02208901275959921,tt0775440,Cell,4.3
118,tt0238112,0.022014347445589107,tt0238112,Captain Corelli's Mandolin,5.9
119,tt0121766,0.021799310130242017,tt0121766,Star Wars: Episode III - Revenge of the Sith,7.5
120,tt0104070,0.02178966300207348,tt0104070,Death Becomes Her,6.6
121,tt1085492,0.02171527825340793,tt1085492,The Prince,4.6
122,tt0100935,0.021615632364599763,tt0100935,Wild at Heart,7.2
123,tt0896798,0.02161153886779678,tt0896798,Cleaner,6.1
124,tt0099165,0.02155228535311901,tt0099165,The Bonfire of the Vanities,5.6
125,tt0329774,0.021343057318520056,tt0329774,xXx: State of the Union,4.4
126,tt0338751,0.021300856797869576,tt0338751,The Aviator,7.5
127,tt0264395,0.021293979809046105,tt0264395,Basic,6.5
128,tt1057500,0.02114384930335834,tt1057500,Invictus,7.3
129,tt4054654,0.021094623301548758,tt4054654,Dog Eat Dog,4.7
130,tt0095497,0.021021798631300274,tt0095497,The Last Temptation of Christ,7.5
131,tt0120832,0.0209924172809175,tt0120832,Snake Eyes,6.0
132,tt0274558,0.020973391736193565,tt0274558,The Hours,7.5
133,tt0481499,0.020920824232986968,tt0481499,The Croods,7.2
134,tt0887883,0.020609784189393812,tt0887883,Burn After Reading,7.0
135,tt0120591,0.020596276484588772,tt0120591,Armageddon,6.7
136,tt3460252,0.020581638630916974,tt3460252,The Hateful Eight,7.8
137,tt0114069,0.020572770109782517,tt0114069,Outbreak,6.6
138,tt3164256,0.020562367210148095,tt3164256,Rock the Kasbah,5.5
139,tt0187078,0.020515419047875235,tt0187078,Gone in 60 Seconds,6.5
140,tt0097965,0.02050745357875345,tt0097965,New York Stories,6.4
141,tt0133952,0.020447299337238586,tt0133952,The Siege,6.4
142,tt1959563,0.020181258962668373,tt1959563,The Hitman's Bodyguard,6.9
143,tt0120797,0.02017305983112679,tt0120797,Pushing Tin,6.0
144,tt0105695,0.020080709659581517,tt0105695,Unforgiven,8.2
145,tt0308383,0.0199476898277651,tt0308383,The Human Stain,6.2
146,tt0375568,0.019939785729401863,tt0375568,Astro Boy,6.3
147,tt0313542,0.0199372757249667,tt0313542,Runaway Jury,7.1
148,tt0325805,0.019761766966196605,tt0325805,Matchstick Men,7.3
149,tt0114746,0.019645785991379026,tt0114746,12 Monkeys,8.0
150,tt4154664,0.019636131306328564,tt4154664,Captain Marvel,6.9
151,tt0465234,0.019606667624207017,tt0465234,National Treasure: Book of Secrets,6.5
152,tt0120768,0.01958532459382015,tt0120768,The Negotiator,7.3
153,tt0349903,0.019570886570073814,tt0349903,Ocean's Twelve,6.5
154,tt0119256,0.019489953003618596,tt0119256,Hard Eight,7.2
155,tt0264472,0.019454263122599798,tt0264472,Changing Lanes,6.5
156,tt0100395,0.019420123446424537,tt0100395,Postcards from the Edge,6.7
157,tt0289765,0.019381174346814023,tt0289765,Red Dragon,7.2
158,tt1496422,0.01935386182599309,tt1496422,The Paperboy,5.8
159,tt1130884,0.019302613613321983,tt1130884,Shutter Island,8.2
160,tt0257076,0.019261860728544137,tt0257076,S.W.A.T.,6.0
161,tt0452623,0.019220227643291263,tt0452623,Gone Baby Gone,7.6
162,tt0469641,0.019205210933631006,tt0469641,World Trade Center,5.9
163,tt0491175,0.019137398492531554,tt0491175,Suburbicon,5.7
164,tt0146838,0.01913459823273873,tt0146838,Any Given Sunday,6.9
165,tt0119116,0.019034866697900936,tt0119116,The Fifth Element,7.7
166,tt1095217,0.018911933769400167,tt1095217,Bad Lieutenant: Port of Call New Orleans,6.6
167,tt0114369,0.018856123179327697,tt0114369,Se7en,8.6
168,tt2177771,0.018852199916968154,tt2177771,The Monuments Men,6.1
169,tt0496806,0.018842085521203568,tt0496806,Ocean's Thirteen,6.9
170,tt1860353,0.018819400220357763,tt1860353,Turbo,6.4
171,tt0099575,0.01875374398159558,tt0099575,Fire Birds,4.8
172,tt1321511,0.01863149644396608,tt1321511,Oldboy,5.7
173,tt0831887,0.01863075580903677,tt0831887,The Spirit,4.8
174,tt0162650,0.018630404638837268,tt0162650,Shaft,5.9
175,tt0091738,0.018609765162578253,tt0091738,Peggy Sue Got Married,6.3
176,tt1403865,0.018600437866596136,tt1403865,True Grit,7.6
177,tt0160916,0.018559011312493132,tt0160916,The Story of Us,6.0
178,tt1132449,0.018537969695297113,tt1132449,Lay the Favorite,4.8
179,tt0399295,0.018445977477159467,tt0399295,Lord of War,7.6
180,tt0111001,0.0184221019186266,tt0111001,The Road to Wellville,5.9
181,tt0405676,0.018416019511625494,tt0405676,All the King's Men,6.2
182,tt0368891,0.018412522145541933,tt0368891,National Treasure,6.9
