tconst,averageRating,numVotes,ordering,title,region,language,types,attributes,isOriginalTitle,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,directors,writers
tt0035423,6.4,78045,33.0,Kate and Leopold,US,\N,\N,alternative spelling,0,movie,Kate & Leopold,Kate & Leopold,0,2001,\N,118,"Comedy,Fantasy,Romance",nm0003506,"nm0737216,nm0003506"
tt0035423,6.4,78045,35.0,Kate & Leopold,US,\N,\N,\N,0,movie,Kate & Leopold,Kate & Leopold,0,2001,\N,118,"Comedy,Fantasy,Romance",nm0003506,"nm0737216,nm0003506"
tt0052646,4.5,6119,13.0,The Brain That Wouldn't Die,US,\N,\N,\N,0,movie,The Brain That Wouldn't Die,The Brain That Wouldn't Die,0,1962,\N,82,"Horror,Sci-Fi",nm0338018,"nm0338018,nm0138223"
tt0052646,4.5,6119,17.0,The Black Door,US,\N,working,\N,0,movie,The Brain That Wouldn't Die,The Brain That Wouldn't Die,0,1962,\N,82,"Horror,Sci-Fi",nm0338018,"nm0338018,nm0138223"
tt0052646,4.5,6119,21.0,Brain That Wouldn't Die,US,\N,alternative,\N,0,movie,The Brain That Wouldn't Die,The Brain That Wouldn't Die,0,1962,\N,82,"Horror,Sci-Fi",nm0338018,"nm0338018,nm0138223"
tt0052646,4.5,6119,6.0,The Head That Wouldn't Die,US,\N,\N,closing credits title,0,movie,The Brain That Wouldn't Die,The Brain That Wouldn't Die,0,1962,\N,82,"Horror,Sci-Fi",nm0338018,"nm0338018,nm0138223"
tt0052832,7.2,5458,11.0,Tennessee Williams' The Fugitive Kind,US,\N,\N,complete title,0,movie,The Fugitive Kind,The Fugitive Kind,0,1960,\N,119,"Drama,Romance",nm0001486,"nm0931783,nm0731409"
tt0052832,7.2,5458,23.0,The Fugitive Kind,US,\N,\N,\N,0,movie,The Fugitive Kind,The Fugitive Kind,0,1960,\N,119,"Drama,Romance",nm0001486,"nm0931783,nm0731409"
tt0052832,7.2,5458,7.0,Orpheus Descending,US,\N,working,\N,0,movie,The Fugitive Kind,The Fugitive Kind,0,1960,\N,119,"Drama,Romance",nm0001486,"nm0931783,nm0731409"
tt0053459,7.7,26476,13.0,The Horror Chamber of Dr. Faustus,US,\N,\N,dubbed version,0,movie,Eyes Without a Face,Les yeux sans visage,0,1960,\N,90,"Drama,Horror",nm0290802,"nm0715118,nm0092267,nm0092268,nm0767110,nm0309039"
tt0053472,7.9,71481,22.0,Breathless,US,\N,imdbDisplay,\N,0,movie,Breathless,À bout de souffle,0,1960,\N,90,"Crime,Drama",nm0000419,"nm0000076,nm0000419,nm0001031"
tt0053559,6.1,5194,17.0,13 Ghosts,US,\N,imdbDisplay,\N,0,movie,13 Ghosts,13 Ghosts,0,1960,\N,85,"Horror,Mystery",nm0145336,nm0925380
tt0053579,8.0,4479,11.0,Late Autumn,US,\N,imdbDisplay,\N,0,movie,Late Autumn,Akibiyori,0,1960,\N,128,"Comedy,Drama",nm0654868,"nm1516268,nm0633792,nm0654868"
tt0053580,6.9,14161,11.0,The Alamo,US,\N,imdbDisplay,\N,0,movie,The Alamo,The Alamo,0,1960,\N,162,"Adventure,Drama,History",nm0000078,nm0335455
tt0053604,8.3,160178,48.0,The Apartment,US,\N,imdbDisplay,\N,0,movie,The Apartment,The Apartment,0,1960,\N,125,"Comedy,Drama,Romance",nm0000697,"nm0000697,nm0224634"
tt0053619,7.9,25824,33.0,L'Avventura,US,\N,imdbDisplay,\N,0,movie,L'Avventura,L'avventura,0,1960,\N,144,"Drama,Mystery",nm0000774,"nm0000774,nm0059026,nm0346096"
tt0053622,6.4,5678,14.0,John O'Hara's BUtterfield 8,US,\N,\N,long title,0,movie,BUtterfield 8,BUtterfield 8,0,1960,\N,109,Drama,nm0542702,"nm0641274,nm0773660,nm0371088"
tt0053622,6.4,5678,18.0,BUtterfield 8,US,\N,\N,\N,0,movie,BUtterfield 8,BUtterfield 8,0,1960,\N,109,Drama,nm0542702,"nm0641274,nm0773660,nm0371088"
tt0053622,6.4,5678,4.0,Butterfield 8,US,\N,\N,alternative spelling,0,movie,BUtterfield 8,BUtterfield 8,0,1960,\N,109,Drama,nm0542702,"nm0641274,nm0773660,nm0371088"
tt0053677,6.7,6593,15.0,The Brides of Dracula,US,\N,imdbDisplay,\N,0,movie,The Brides of Dracula,The Brides of Dracula,0,1960,\N,85,Horror,nm0279807,"nm0762727,nm0116999,nm0672906,nm0385573"
tt0053719,6.8,6017,12.0,Horror Hotel,US,\N,\N,\N,0,movie,The City of the Dead,The City of the Dead,0,1960,\N,78,"Horror,Mystery,Thriller",nm0610303,"nm0062658,nm0836988"
tt0053719,6.8,6017,28.0,The City of the Dead,US,\N,imdbDisplay,\N,0,movie,The City of the Dead,The City of the Dead,0,1960,\N,78,"Horror,Mystery,Thriller",nm0610303,"nm0062658,nm0836988"
tt0053719,6.8,6017,3.0,City of the Dead,US,\N,working,\N,0,movie,The City of the Dead,The City of the Dead,0,1960,\N,78,"Horror,Mystery,Thriller",nm0610303,"nm0062658,nm0836988"
tt0053779,8.0,65003,15.0,La Dolce Vita,US,\N,imdbDisplay,\N,0,movie,La Dolce Vita,La dolce vita,0,1960,\N,174,"Comedy,Drama",nm0000019,"nm0000019,nm0280919,nm0684083,nm0740021,nm0001596"
tt0053779,8.0,65003,8.0,The Sweet Life,US,\N,\N,literal English title,0,movie,La Dolce Vita,La dolce vita,0,1960,\N,174,"Comedy,Drama",nm0000019,"nm0000019,nm0280919,nm0684083,nm0740021,nm0001596"
tt0053793,7.8,10150,19.0,Elmer Gantry,US,\N,imdbDisplay,\N,0,movie,Elmer Gantry,Elmer Gantry,0,1960,\N,146,Drama,nm0112218,"nm0112218,nm0507760"
tt0053804,6.7,8743,25.0,Exodus,US,\N,imdbDisplay,\N,0,movie,Exodus,Exodus,0,1960,\N,208,"Action,Drama,History",nm0695937,"nm0874308,nm0881979"
tt0053877,6.5,4402,10.0,The Grass Is Greener,US,\N,imdbDisplay,\N,0,movie,The Grass Is Greener,The Grass Is Greener,0,1960,\N,104,"Comedy,Drama,Romance",nm0002045,"nm0930776,nm0904553"
tt0053925,7.0,11631,14.0,The Fall of the House of Usher,US,\N,alternative,\N,0,movie,House of Usher,House of Usher,0,1960,\N,79,"Drama,Horror",nm0000339,"nm0000590,nm0558577"
tt0053925,7.0,11631,23.0,House of Usher,US,\N,\N,\N,0,movie,House of Usher,House of Usher,0,1960,\N,79,"Drama,Horror",nm0000339,"nm0000590,nm0558577"
tt0053925,7.0,11631,27.0,The Mysterious House of Usher,US,\N,working,\N,0,movie,House of Usher,House of Usher,0,1960,\N,79,"Drama,Horror",nm0000339,"nm0000590,nm0558577"
tt0053925,7.0,11631,38.0,Haunted House of Usher,US,\N,working,\N,0,movie,House of Usher,House of Usher,0,1960,\N,79,"Drama,Horror",nm0000339,"nm0000590,nm0558577"
tt0053946,8.1,26799,8.0,Inherit the Wind,US,\N,imdbDisplay,\N,0,movie,Inherit the Wind,Inherit the Wind,0,1960,\N,128,"Biography,Drama,History",nm0006452,"nm0949917,nm0808414,nm0492823,nm0498126"
tt0053976,8.1,26133,26.0,The Virgin Spring,US,\N,imdbDisplay,\N,0,movie,The Virgin Spring,Jungfrukällan,0,1960,\N,89,Drama,nm0000005,nm0410694
tt0053987,7.4,5422,,,,,,,,movie,The Steamroller and the Violin,Katok i skripka,0,1961,\N,46,Drama,nm0001789,"nm1027925,nm0464846,nm0001789"
tt0054022,6.5,6532,1.0,Billionaire,US,\N,working,\N,0,movie,Let's Make Love,Let's Make Love,0,1960,\N,119,"Comedy,Musical,Romance",nm0002030,"nm0469915,nm0437900,nm0007186"
tt0054022,6.5,6532,27.0,Let's Make Love,US,\N,\N,\N,0,movie,Let's Make Love,Let's Make Love,0,1960,\N,119,"Comedy,Musical,Romance",nm0002030,"nm0469915,nm0437900,nm0007186"
tt0054033,6.3,15878,28.0,The Little Shop of Horrors,US,\N,\N,\N,0,movie,The Little Shop of Horrors,The Little Shop of Horrors,0,1960,\N,72,"Comedy,Horror","nm0000339,nm0341458,nm0003203","nm0341458,nm0000339"
tt0054033,6.3,15878,8.0,The Passionate People Eater,US,\N,working,\N,0,movie,The Little Shop of Horrors,The Little Shop of Horrors,0,1960,\N,72,"Comedy,Horror","nm0000339,nm0341458,nm0003203","nm0341458,nm0000339"
tt0054047,7.7,86290,27.0,The Magnificent Seven,US,\N,imdbDisplay,\N,0,movie,The Magnificent Seven,The Magnificent Seven,0,1960,\N,128,"Action,Adventure,Western",nm0836328,"nm0731679,nm0000041,nm0077159,nm0368074,nm0628305,nm0644823"
tt0054067,7.2,13263,30.0,Fright,US,\N,alternative,\N,0,movie,Black Sunday,La maschera del demonio,0,1960,\N,87,Horror,nm0000878,"nm0208086,nm0004531,nm0324690,nm0383318,nm0000878,nm0181753,nm0210796"
tt0054067,7.2,13263,37.0,Black Sunday,US,\N,imdbDisplay,\N,0,movie,Black Sunday,La maschera del demonio,0,1960,\N,87,Horror,nm0000878,"nm0208086,nm0004531,nm0324690,nm0383318,nm0000878,nm0181753,nm0210796"
tt0054084,6.8,4450,23.0,Midnight Lace,US,\N,\N,\N,0,movie,Midnight Lace,Midnight Lace,0,1960,\N,103,"Drama,Mystery,Thriller",nm0588183,"nm0324578,nm0730850,nm0337944"
tt0054084,6.8,4450,30.0,Matilda Shouted Fire,US,\N,working,\N,0,movie,Midnight Lace,Midnight Lace,0,1960,\N,103,"Drama,Mystery,Thriller",nm0588183,"nm0324578,nm0730850,nm0337944"
tt0054098,8.2,7168,13.0,The Great Mughal,US,\N,\N,literal English title,0,movie,Mughal-E-Azam,Mughal-E-Azam,0,1960,\N,197,"Drama,Romance,War",nm0039339,"nm0039339,nm0023863,nm0025399,nm0729815,nm0592599"
tt0054098,8.2,7168,1.0,Mughal-E-Azam,US,\N,imdbDisplay,\N,0,movie,Mughal-E-Azam,Mughal-E-Azam,0,1960,\N,197,"Drama,Romance,War",nm0039339,"nm0039339,nm0023863,nm0025399,nm0729815,nm0592599"
tt0054127,7.0,6841,15.0,Go North,US,\N,working,\N,0,movie,North to Alaska,North to Alaska,0,1960,\N,122,"Comedy,Romance,Western",nm0368871,"nm0536941,nm0705228,nm0083125,nm0283780,nm0434528,nm0372942,nm0562606"
tt0054127,7.0,6841,23.0,The Alaskans,US,\N,working,\N,0,movie,North to Alaska,North to Alaska,0,1960,\N,122,"Comedy,Romance,Western",nm0368871,"nm0536941,nm0705228,nm0083125,nm0283780,nm0434528,nm0372942,nm0562606"
